"ANO","ELECCION","CODIGO_ESTADO","NOMBRE_ESTADO","CODIGO_MUNICIPIO","NOMBRE_MUNICIPIO","DISTRITO_FEDERAL","SECCION","NOMINAL","PAN","PRI","PRD","PNA","PT","PVEM"
2009,"dif",19,"nuevo leon",12,"cienega de flores",12,234,1036,296,179,10,23,37,27
2009,"dif",19,"nuevo leon",12,"cienega de flores",12,235,1945,352,373,34,53,80,52
2009,"dif",19,"nuevo leon",12,"cienega de flores",12,236,224,40,35,10,4,3,1
2009,"dif",19,"nuevo leon",13,"china",9,237,625,138,173,55,14,4,8
2009,"dif",19,"nuevo leon",13,"china",9,238,920,83,250,59,27,17,12
2009,"dif",19,"nuevo leon",13,"china",9,239,852,105,251,73,72,2,13
2009,"dif",19,"nuevo leon",13,"china",9,240,1061,144,330,103,36,4,16
2009,"dif",19,"nuevo leon",13,"china",9,241,1019,160,276,123,28,3,10
2009,"dif",19,"nuevo leon",13,"china",9,242,1105,149,303,97,37,10,20
2009,"dif",19,"nuevo leon",13,"china",9,243,951,178,225,128,30,8,6
2009,"dif",19,"nuevo leon",13,"china",9,244,1080,187,296,107,46,8,9
2009,"dif",19,"nuevo leon",13,"china",9,245,1187,143,372,134,61,7,20
2009,"dif",19,"nuevo leon",13,"china",9,246,78,8,40,7,1,2,0
2009,"dif",19,"nuevo leon",13,"china",9,247,151,18,40,22,2,1,3
2009,"dif",19,"nuevo leon",13,"china",9,252,116,7,35,16,2,0,1
2009,"dif",19,"nuevo leon",13,"china",9,253,245,33,62,40,9,1,5
2009,"dif",19,"nuevo leon",13,"china",9,256,786,173,224,87,4,4,1
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,257,780,295,220,2,14,3,4
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,258,1860,686,479,13,66,9,16
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,259,1052,308,351,6,48,10,13
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,260,1025,380,242,4,43,4,7
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,261,1056,396,251,4,80,2,8
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,262,1222,450,279,6,13,15,4
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,263,1005,327,222,3,30,7,5
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,264,160,52,39,2,1,3,1
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,265,529,191,104,1,6,8,4
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,266,555,175,150,2,1,10,6
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,267,374,127,108,2,0,1,3
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,268,1288,389,358,7,25,50,8
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,269,525,161,162,1,7,5,3
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,270,684,294,185,0,9,0,0
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,271,1236,380,380,9,11,36,7
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,272,637,209,176,3,18,0,3
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,273,474,178,128,1,4,0,2
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,274,538,205,145,3,4,5,4
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,275,836,313,259,1,14,2,1
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,276,945,396,187,1,17,3,4
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,277,827,244,248,8,10,0,3
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,278,265,104,85,3,2,0,0
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,279,469,152,145,2,13,1,2
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,280,466,138,164,0,6,1,0
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,281,368,106,124,0,42,3,3
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,282,571,222,129,2,33,2,1
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,283,640,214,166,1,20,1,3
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,284,367,98,106,2,3,1,4
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,285,243,65,72,1,3,3,2
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,286,432,82,120,0,5,3,6
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,287,444,98,161,0,3,1,2
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,288,680,178,117,0,6,4,0
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,289,547,190,153,3,0,2,3
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,290,422,150,85,0,3,1,2
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,291,600,182,174,3,7,3,7
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,292,821,289,240,0,2,0,4
2009,"dif",19,"nuevo leon",14,"dr arroyo",9,293,253,114,83,2,1,1,2
2009,"dif",19,"nuevo leon",15,"dr coss",9,294,274,100,83,5,3,1,1
2009,"dif",19,"nuevo leon",15,"dr coss",9,295,1147,366,354,12,13,2,8
2009,"dif",19,"nuevo leon",15,"dr coss",9,296,284,106,60,1,0,0,2
2009,"dif",19,"nuevo leon",15,"dr coss",9,297,136,44,34,1,0,0,0
2009,"dif",19,"nuevo leon",15,"dr coss",9,299,258,54,71,0,0,0,0
2009,"dif",19,"nuevo leon",15,"dr coss",9,300,165,84,32,0,1,0,0
2009,"dif",19,"nuevo leon",15,"dr coss",9,301,171,45,42,0,3,0,0
2009,"dif",19,"nuevo leon",15,"dr coss",9,303,377,196,66,2,5,0,1
2009,"dif",19,"nuevo leon",15,"dr coss",9,304,418,112,161,4,2,0,5
2009,"dif",19,"nuevo leon",16,"dr gonzalez",12,305,947,209,296,6,49,93,13
2009,"dif",19,"nuevo leon",16,"dr gonzalez",12,306,989,230,260,4,41,160,3
2009,"dif",19,"nuevo leon",16,"dr gonzalez",12,307,652,157,183,0,27,34,0
2009,"dif",19,"nuevo leon",16,"dr gonzalez",12,308,194,57,62,3,15,13,5
2009,"dif",19,"nuevo leon",17,"galeana",9,309,1551,506,307,17,62,18,21
2009,"dif",19,"nuevo leon",17,"galeana",9,310,1221,339,284,16,97,19,19
2009,"dif",19,"nuevo leon",17,"galeana",9,311,1871,461,482,12,129,35,34
2009,"dif",19,"nuevo leon",17,"galeana",9,312,1382,299,493,4,11,8,8
2009,"dif",19,"nuevo leon",17,"galeana",9,313,590,132,201,0,1,2,1
2009,"dif",19,"nuevo leon",17,"galeana",9,314,233,22,61,0,5,3,2
2009,"dif",19,"nuevo leon",17,"galeana",9,315,417,41,173,1,10,1,5
