cve_cas2,folio,dtto_loc,municipio,seccion,pan,pri,prd,pt,pvem,udc,pmc,pna,si,ppc,pj,prc,pcp,morena,es,PAN-UDC-PPC-ES,PAN-UDC-PPC,PAN-UDC-ES,PAN-PPC-ES,UDC-PPC-ES,PAN-UDC,PAN-PPC,PAN-ES,UDC-PPC,UDC-ES,PPC-ES,PRI-PVEM-PNA-SI-PJ-PRC-PCP,PRI-PVEM-PNA-SI-PJ-PRC,PRI-PVEM-PNA-SI-PJ-PCP,PRI-PVEM-PNA-SI-PRC-PCP,PRI-PVEM-PNA-PJ-PRC-PCP,PRI-PVEM-SI-PJ-PRC-PCP,PRI-PNA-SI-PJ-PRC-PCP,PVEM-PNA-SI-PJ-PRC-PCP,PRI-PVEM-PNA-SI-PJ,PRI-PVEM-PNA-SI-PRC,PRI-PVEM-PNA-SI-PCP,PRI-PVEM-PNA-PJ-PRC,PRI-PVEM-PNA-PJ-PCP,PRI-PVEM-PNA-PRC-PCP,PRI-PVEM-SI-PJ-PRC,PRI-PVEM-SI-PJ-PCP,PRI-PVEM-SI-PRC-PCP,PRI-PVEM-PJ-PRC-PCP,PRI-PNA-SI-PJ-PRC,PRI-PNA-SI-PJ-PCP,PRI-PNA-SI-PRC-PCP,PRI-PNA-PJ-PRC-PCP,PRI-SI-PJ-PRC-PCP,PVEM-PNA-SI-PJ-PRC,PVEM-PNA-SI-PJ-PCP,PVEM-PNA-SI-PRC-PCP,PVEM-PNA-PJ-PRC-PCP,PVEM-SI-PJ-PRC-PCP,PNA-SI-PJ-PRC-PCP,PRI-PVEM-PNA-SI,PRI-PVEM-PNA-PJ,PRI-PVEM-PNA-PRC,PRI-PVEM-PNA-PCP,PRI-PVEM-SI-PJ,PRI-PVEM-SI-PRC,PRI-PVEM-SI-PCP,PRI-PVEM-PJ-PRC,PRI-PVEM-PJ-PCP,PRI-PVEM-PRC-PCP,PRI-PNA-SI-PJ,PRI-PNA-SI-PRC,PRI-PNA-SI-PCP,PRI-PNA-PJ-PRC,PRI-PNA-PJ-PCP,PRI-PNA-PRC-PCP,PRI-SI-PJ-PRC,PRI-SI-PJ-PCP,PRI-SI-PRC-PCP,PRI-PJ-PRC-PCP,PVEM-PNA-SI-PJ,PVEM-PNA-SI-PRC,PVEM-PNA-SI-PCP,PVEM-PNA-PJ-PRC,PVEM-PNA-PJ-PCP,PVEM-PNA-PRC-PCP,PVEM-SI-PJ-PRC,PVEM-SI-PJ-PCP,PVEM-SI-PRC-PCP,PVEM-PJ-PRC-PCP,PNA-SI-PJ-PRC,PNA-SI-PJ-PCP,NA-SI-PRC-PCP,PNA-PJ-PRC-PCP,SI-PJ-PRC-PCP,PRI-PVEM-PNA,PRI-PVEM-SI,PRI-PVEM-PJ,PRI-PVEM-PRC,PRI-PVEM-PCP,PRI-PNA-SI,PRI-PNA-PJ,PRI-PNA-PRC,PRI-PNA-PCP,PRI-SI-PJ,PRI-SI-PRC,PRI-SI-PCP,PRI-PJ-PRC,PRI-PJ-PCP,PRI-PRC-PCP,PVEM-PNA-SI,PVEM-PNA-PJ,PVEM-PNA-PRC,PVEM-PNA-PCP,PVEM-SI-PJ,PVEM-SI-PRC,PVEM-SI-PCP,PVEM-PJ-PRC,PVEM-PJ-PCP,PVEM-PRC-PCP,PNA-SI-PJ,PNA-SI-PRC,PNA-SI-PCP,PNA-PJ-PRC,PNA-PJ-PCP,PNA-PRC-PCP,SI-PJ-PRC,SI-PJ-PCP,SI-PRC-PCP,PJ-PRC-PCP,PRI-PVEM,PRI-PNA,PRI-SI,PRI-PJ,PRI-PRC,PRI-PCP,PVEM-PNA,PVEM-SI,PVEM-PJ,PVEM-PRC,PVEM-PCP,PNA-SI,PNA-PJ,PNA-PRC,PNA-PCP,SI-PJ,SI-PRC,SI-PCP,PJ-PRC,PJ-PCP,PRC-PCP,cand_ind1,cand_ind2,cand_ind3,cand_nreg,nulos,TOTAL
0004C3,G020004C3,1,2,4,45,125,30,3,2,153,0,0,0,0,22,2,0,23,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,5,447
0004C4,G020004C4,1,2,4,60,120,16,5,6,159,0,1,1,1,18,0,0,21,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,5,445
0004C5,G020004C5,1,2,4,65,153,20,4,2,164,0,1,0,1,7,1,0,18,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,8,467
0004C6,G020004C6,1,2,4,72,128,17,4,3,178,0,2,1,1,10,0,1,16,5,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,10,470
0005B,G020005B,1,2,5,48,57,7,4,10,114,0,3,0,1,4,2,0,17,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,6,308
0005C1,G020005C1,1,2,5,53,80,9,3,6,108,0,1,2,2,6,0,0,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,6,321
0005C2,G020005C2,1,2,5,43,60,8,2,10,91,0,0,2,0,4,0,0,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,6,272
0006B,G020006B,1,2,6,42,74,7,1,3,79,0,1,1,0,1,0,0,10,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,3,247
0006C1,G020006C1,1,2,6,58,75,4,1,2,65,0,1,1,1,2,0,0,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4,257
0007B,G020007B,1,2,7,79,88,6,1,1,100,0,3,0,1,4,1,0,8,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,2,326
