"ANO","ELECCION","CODIGO_ESTADO","ESTADO","SECCION","CC1_GOB17","CC2_GOB17","CC3_GOB17","PAN","PNA","PRD","PRI","PSI","PT","PUDC","PVEM"
"2017","gob",5,"coahuila",64,3,1,1,68,4,1,248,1,5,1,0
"2017","gob",5,"coahuila",66,11,3,0,87,3,4,278,1,2,0,8
"2017","gob",5,"coahuila",67,4,0,0,33,2,0,64,0,1,0,1
"2017","gob",5,"coahuila",68,1,5,0,42,2,3,140,1,3,1,0
"2017","gob",5,"coahuila",69,18,8,0,61,0,7,154,3,27,1,0
"2017","gob",5,"coahuila",69,23,10,0,55,1,4,152,1,23,1,3
"2017","gob",5,"coahuila",69,11,0,0,10,0,1,182,0,42,0,1
"2017","gob",5,"coahuila",70,20,5,2,77,2,2,172,1,14,8,3
"2017","gob",5,"coahuila",71,2,1,0,56,1,7,73,1,0,1,0
"2017","gob",5,"coahuila",72,0,0,0,26,0,0,129,1,1,1,0
"2017","gob",5,"coahuila",73,37,1,0,14,1,0,130,0,0,1,0
"2017","gob",5,"coahuila",74,20,14,0,63,4,3,234,2,6,1,3
"2017","gob",5,"coahuila",75,39,15,0,109,2,0,338,2,4,3,0
"2017","gob",5,"coahuila",75,29,10,0,125,1,0,306,3,3,2,2
"2017","gob",5,"coahuila",75,25,12,2,111,6,2,342,4,4,1,4
"2017","gob",5,"coahuila",76,1,2,0,30,0,0,141,1,1,0,1
"2017","gob",5,"coahuila",77,14,0,0,25,0,0,78,0,2,2,0
"2017","gob",5,"coahuila",78,14,3,0,58,4,6,199,1,1,4,0
"2017","gob",5,"coahuila",78,9,8,0,56,1,2,193,1,0,12,0
"2017","gob",5,"coahuila",79,29,10,1,78,1,4,263,3,11,18,1
"2017","gob",5,"coahuila",79,54,8,1,84,1,2,264,4,5,18,2
"2017","gob",5,"coahuila",79,40,8,1,57,1,5,295,1,9,10,0
"2017","gob",5,"coahuila",80,14,3,0,68,0,1,149,2,2,3,0
"2017","gob",5,"coahuila",81,8,1,0,186,2,0,175,0,0,2,1
"2017","gob",5,"coahuila",82,17,1,0,151,5,0,157,0,0,2,1
"2017","gob",5,"coahuila",82,4,0,0,174,6,0,155,0,0,1,0
"2017","gob",5,"coahuila",83,6,0,0,78,4,0,138,0,0,0,1
"2017","gob",5,"coahuila",84,29,0,0,131,4,77,174,0,9,1,14
"2017","gob",5,"coahuila",84,39,3,0,125,2,60,161,3,7,3,7
"2017","gob",5,"coahuila",84,40,4,0,112,2,59,183,1,6,1,13
"2017","gob",5,"coahuila",85,27,1,0,92,3,25,102,0,4,1,6
"2017","gob",5,"coahuila",85,18,0,0,87,3,32,124,0,1,0,5
"2017","gob",5,"coahuila",86,31,0,0,106,0,64,176,0,5,2,3
"2017","gob",5,"coahuila",86,54,3,0,114,3,60,170,0,3,3,1
"2017","gob",5,"coahuila",87,35,0,0,80,1,47,111,0,5,0,10
"2017","gob",5,"coahuila",87,47,1,0,105,3,35,115,0,2,1,15
"2017","gob",5,"coahuila",87,29,1,0,85,1,49,128,0,4,0,11
"2017","gob",5,"coahuila",88,29,0,0,107,1,27,134,0,2,2,7
"2017","gob",5,"coahuila",88,31,0,0,80,3,29,126,0,5,1,8
"2017","gob",5,"coahuila",89,50,1,0,114,1,57,201,3,11,4,2
"2017","gob",5,"coahuila",89,26,5,0,118,9,52,178,0,3,3,6
"2017","gob",5,"coahuila",90,35,1,0,99,1,43,121,0,2,0,6
