SECCION,GANADOR,CODIGO_ESTADO,MUN_IFE,MUN_INEGI,TOTAL,HOMBRES,MUJERES,HIJOS,ENTIDAD_NAC,ENTIDAD_INM,ENTIDAD_MIG,LIMITACION,ANALFABETISMO,EDUCACION_AV,PEA,NO_SERV_SALUD,MATRIMONIOS,HOGARES,HOGARES_JEFA,HOGARES_POB,AUTO
512,CPRI,5,22,22,2930,51.26279863,48.73720137,2.49,85.76791809,96.84372594,1.077752117,4.914675768,3.050672182,22.52460915,33.72013652,14.36860068,59.57049486,750,23.2,388.2666667,67.2
513,CPAN,5,22,22,1597,50.97056982,49.02943018,2.56,89.73074515,95.38138558,2.519244227,5.57294928,4.735376045,26.42487047,36.31809643,20.28804008,57.08263069,425,19.76470588,372.9411765,68.23529412
514,CPRI,5,22,22,1103,49.1387126,50.8612874,2.43,82.59292838,95.78622816,2.158273381,2.901178604,2.325581395,35.65340909,33.54487761,22.66545784,59.43627451,285,17.19298246,378.5964912,69.47368421
515,CPRI,5,22,22,1442,50.13869626,49.86130374,2.68,87.03190014,96.46697389,1.152073733,4.230235784,0.942507069,28.23408624,33.35644938,9.986130374,59.9122807,380,17.10526316,377.1052632,75.26315789
516,CPRI,5,22,22,2220,50.67567568,49.32432432,2.48,82.61261261,97.10953347,1.622718053,4.054054054,2.909336942,27.79026217,34.68468468,14.5045045,58.97908979,577,29.4627383,381.6291161,66.55112652
517,CPRI,5,22,22,1272,52.04402516,47.95597484,2.6,82.31132075,96.13309353,1.798561151,5.188679245,3.154205607,26.76962677,37.10691824,19.96855346,59.67567568,364,21.42857143,345.3296703,65.93406593
518,CPRI,5,22,22,3071,51.38391403,48.61608597,2.23,86.71442527,96.46017699,1.51179941,3.060892218,1.772679875,28.57967667,34.71182025,11.62487789,64.98823529,774,9.302325581,393.6692506,76.22739018
519,CPAN,5,22,22,2392,51.29598662,48.70401338,2.35,81.02006689,92.78799613,4.985479187,4.180602007,5.086928525,25.35511364,38.16889632,22.99331104,62.84866469,621,14.17069243,378.099839,57.48792271
520,CPRI,5,22,22,721,52.98196949,47.01803051,2.6,74.6185853,94.14483821,4.006163328,8.876560333,5.555555556,18.28193833,37.4479889,32.17753121,57.03971119,193,13.47150259,365.8031088,69.43005181
521,CPRI,5,22,22,453,54.08388521,45.91611479,2.25,73.06843267,97.98488665,1.511335013,5.298013245,7.516339869,17.08185053,38.18984547,33.55408389,62.76276276,129,10.85271318,333.3333333,69.76744186
523,CPAN,5,22,22,442,51.35746606,48.64253394,2.63,87.33031674,96.14395887,1.542416452,3.846153846,7.382550336,20.58823529,30.31674208,12.8959276,59.69230769,116,13.79310345,373.2758621,70.68965517
526,MORENA,5,23,23,2126,50.79962371,49.20037629,3.05,95.01411101,95.74579832,2.783613445,7.855126999,6.90376569,18.97356143,30.1505174,28.45719661,57.59128764,517,20.11605416,411.2185687,60.92843327
527,CPRI,5,23,23,1627,50.89121082,49.10878918,2.97,93.05470191,93.79310345,4.827586207,6.39213276,7.904085258,17.76900296,34.17332514,30.7314075,55.5465587,412,21.11650485,391.9902913,55.82524272
528,CPRI,5,23,23,352,55.39772727,44.60227273,2.79,96.30681818,98.48484848,0,11.36363636,9.019607843,2.575107296,38.06818182,62.21590909,55.51601423,106,10.37735849,332.0754717,53.77358491
529,CPRI,5,23,23,309,58.25242718,41.74757282,3.3,94.17475728,99.63898917,0,14.5631068,12.5,2.415458937,38.51132686,36.56957929,56.72268908,83,12.04819277,365.060241,78.31325301
530,CPRI,5,23,23,434,52.99539171,47.00460829,3.56,92.16589862,95.11568123,1.542416452,10.59907834,9.491525424,5.243445693,34.79262673,32.02764977,66.66666667,114,10.52631579,380.7017544,66.66666667
531,CPRI,5,23,23,238,55.04201681,44.95798319,2.9,63.44537815,94.52736318,2.487562189,7.142857143,3.821656051,8.633093525,35.29411765,55.88235294,59.30232558,59,11.86440678,393.220339,88.13559322
532,CPRI,5,23,23,1629,51.56537753,48.43462247,2.65,82.38182934,93.23671498,5.797101449,7.30509515,5.238540692,17.41397289,32.10558625,20.68753837,61.49914821,417,11.75059952,389.9280576,57.55395683
534,CPRI,5,23,23,348,54.88505747,45.11494253,3.69,81.6091954,96.79487179,2.884615385,10.34482759,5.785123967,6.306306306,34.48275862,24.71264368,65.64885496,101,11.88118812,344.5544554,68.31683168
535,MORENA,5,23,23,248,56.4516129,43.5483871,2.51,97.58064516,100,0,7.661290323,8.379888268,4.191616766,39.91935484,41.53225806,64.0625,69,1.449275362,359.4202899,75.36231884
