ANO,ELECCION,CODIGO_ESTADO,NOMBRE_ESTADO,NOMBRE_MUNICIPIO,DISTRITO_LOCAL_INE_2016,SECCION,NOMINAL,CNR,MORENA,NULOS,PAN,PNA,PRD,PRI,PRS,PSD,PT,PUP,PVEM
2016,gob,20,oaxaca,SANTIAGO JUXTLAHUACA,,2046,1266,0,649,21,,1,1,,10,5,14,7,
2016,gob,20,oaxaca,SANTIAGO JUXTLAHUACA,,2047,1307,0,557,15,,0,234,,7,3,7,1,
2016,gob,20,oaxaca,SANTIAGO JUXTLAHUACA,,2048,1405,0,979,14,,1,3,,34,7,1,6,
2016,gob,20,oaxaca,SANTIAGO JUXTLAHUACA,,2049,633,0,376,11,,0,0,,12,1,0,4,
2016,gob,20,oaxaca,SANTIAGO LACHIGUIRI,18,2050,1204,0,78,16,,3,154,,0,2,10,0,
2016,gob,20,oaxaca,SANTIAGO LACHIGUIRI,18,2051,809,0,29,19,,0,190,,0,1,9,0,
2016,gob,20,oaxaca,SANTIAGO LACHIGUIRI,18,2052,646,0,83,14,,7,7,,2,1,3,1,
2016,gob,20,oaxaca,SANTIAGO LACHIGUIRI,18,2053,468,0,46,8,,3,8,,8,5,3,0,
2016,gob,20,oaxaca,SANTO DOMINGO TEHUANTEPEC,18,2054,415,0,41,8,,3,84,,0,2,98,7,
2016,gob,20,oaxaca,SANTIAGO LACHIGUIRI,18,2055,440,0,26,3,,1,64,,0,0,3,1,
2016,gob,20,oaxaca,SANTIAGO LALOPA,9,2056,344,0,76,5,,1,17,,2,3,46,6,
2016,gob,20,oaxaca,SANTIAGO LAOLLAGA,18,2057,1185,0,290,15,,34,35,,7,0,99,1,
2016,gob,20,oaxaca,SANTIAGO LAOLLAGA,18,2058,1032,0,409,38,,92,76,,8,6,86,6,
2016,gob,20,oaxaca,SANTIAGO LAOLLAGA,18,2059,624,,,,,,,,,,,,
2016,gob,20,oaxaca,SANTIAGO LAXOPA,9,2060,482,0,29,11,,4,17,,4,76,15,60,
2016,gob,20,oaxaca,SANTIAGO LAXOPA,9,2061,445,0,30,4,,0,9,,3,3,29,37,
2016,gob,20,oaxaca,SANTIAGO LLANO GRANDE,22,2062,1612,0,113,13,,0,33,,0,0,663,0,
2016,gob,20,oaxaca,SANTIAGO LLANO GRANDE,22,2063,438,0,37,7,,0,8,,1,0,144,1,
2016,gob,20,oaxaca,SANTIAGO LLANO GRANDE,22,2064,681,0,77,4,,0,13,,3,1,210,0,
2016,gob,20,oaxaca,SANTIAGO MATATLAN,17,2065,1030,0,68,24,,4,36,,3,5,20,4,
