Seccion,Casilla,Eleccion,Municipio,Distrito,Estatus,LN,Total,Partido Acción Nacional,Partido Revolucionario Institucional,Partido de la Revolución Democrática,Partido del Trabajo,Partido Verde Ecologista de México,Movimiento Ciudadano,Nueva Alianza Partido Político Nacional,Partido Demócrata,Partido Cruzada Ciudadana,MORENA,Partido Humanista  Partido Político Nacional,Partido Político Nacional  Encuentro Social,Candidato Independiente,Votos Anulados
164,BASICA,Diputados Locales,Aramberri,26,Acta contabilizada,233,198,34,137,1,2,0,1,0,0,0,0,1,8,0,14
164,EXTRAORDINARIA 1,Diputados Locales,Aramberri,26,Acta contabilizada,181,154,20,126,0,0,0,0,0,0,0,0,0,0,0,8
165,BASICA,Diputados Locales,Aramberri,26,Acta contabilizada,406,325,112,171,0,3,0,2,1,0,0,2,6,8,0,20
165,CONTIGUA 1,Diputados Locales,Aramberri,26,Acta contabilizada,406,317,120,146,0,3,2,0,9,0,1,0,4,14,0,18
166,BASICA,Diputados Locales,Aramberri,26,Acta contabilizada,493,419,74,290,3,6,8,2,1,0,0,0,1,10,0,24
167,BASICA,Diputados Locales,Aramberri,26,Acta contabilizada,403,330,83,176,0,48,0,3,2,0,0,0,1,0,0,17
168,BASICA,Diputados Locales,Bustamante,21,Acta contabilizada,674,549,278,129,7,0,4,0,89,1,0,4,4,0,22,11
169,BASICA,Diputados Locales,Bustamante,21,Acta contabilizada,720,583,244,206,3,1,4,0,94,1,1,1,1,0,23,4
170,BASICA,Diputados Locales,Bustamante,21,Acta contabilizada,713,565,301,148,5,2,3,0,74,0,2,9,2,0,16,3
171,BASICA,Diputados Locales,Bustamante,21,Acta contabilizada,566,487,231,124,6,0,2,0,91,0,1,4,1,0,21,6
171,CONTIGUA 1,Diputados Locales,Bustamante,21,Acta contabilizada,565,469,243,101,4,1,4,0,89,0,0,3,2,0,19,3
172,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,536,348,118,62,2,2,107,11,3,0,5,3,19,4,0,12
172,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,536,342,108,70,1,6,114,9,1,0,1,3,15,6,0,8
172,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,536,419,124,122,4,5,122,10,4,0,1,3,10,2,0,12
172,ESPECIAL 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,0,49,6,10,1,1,22,0,2,0,2,0,3,2,0,0
173,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,573,305,67,68,4,2,109,4,5,1,0,3,20,8,0,14
173,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,572,314,72,85,4,1,104,6,4,0,0,6,15,3,0,14
174,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,727,358,82,96,2,1,113,5,0,1,0,21,17,14,0,6
174,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,727,388,74,77,1,8,145,11,7,0,2,14,19,10,0,20
174,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,727,403,87,112,3,5,125,12,4,2,1,11,18,11,0,12
174,CONTIGUA 3,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,726,374,77,87,2,4,141,2,4,3,1,17,17,8,0,11
175,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,632,357,90,87,2,5,102,9,6,5,0,17,9,10,0,15
175,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,632,316,80,68,2,5,94,8,2,5,1,16,16,9,0,10
175,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,631,336,78,95,1,6,92,4,3,8,0,19,11,5,0,14
176,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,693,372,95,79,5,4,95,9,6,6,1,9,17,31,0,15
176,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,692,383,99,79,2,6,109,7,2,1,2,14,28,17,0,17
176,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,692,352,92,70,1,8,98,9,2,2,3,3,17,39,0,8
177,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,684,370,136,81,4,1,88,7,8,0,9,14,13,9,0,0
177,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,683,402,111,93,2,9,103,13,8,10,1,7,12,14,0,19
178,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,617,312,72,83,0,4,98,5,9,8,0,2,14,6,0,11
178,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,617,326,95,76,5,4,91,9,6,10,0,4,14,7,0,5
179,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,712,358,95,113,1,2,109,5,4,2,0,9,7,3,0,8
179,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,711,379,102,104,1,2,116,10,1,5,2,3,14,9,0,10
180,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,646,335,98,78,2,3,95,9,6,6,0,3,13,10,0,12
180,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,645,327,77,103,2,5,97,5,4,2,0,6,10,7,0,9
181,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,508,261,60,54,3,4,94,5,3,3,0,9,7,7,0,12
181,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,507,267,68,74,0,3,79,3,1,12,0,6,7,7,0,7
181,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,507,266,59,61,1,0,95,6,1,16,0,2,11,4,0,10
182,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,693,377,82,84,0,0,125,14,11,4,0,9,16,17,0,15
182,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,693,336,84,74,3,6,116,10,8,3,0,3,12,8,0,9
182,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,692,327,89,79,3,5,95,6,5,7,0,1,15,12,0,10
183,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,614,362,110,75,4,4,114,12,4,6,1,3,18,7,0,4
183,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,614,388,99,78,6,5,136,10,5,0,3,14,23,6,0,3
183,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,614,329,76,72,1,6,114,14,6,1,1,3,23,7,0,5
183,CONTIGUA 3,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,613,357,92,87,2,3,117,14,8,3,2,5,18,6,0,0
183,CONTIGUA 4,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,613,340,85,81,3,7,106,13,4,2,1,6,20,6,0,6
183,EXTRAORDINARIA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,738,376,116,76,4,5,116,9,6,1,0,6,23,12,0,2
183,EXTRAORDINARIA 1 CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,738,392,121,85,3,6,120,12,9,1,0,3,20,9,0,3
183,EXTRAORDINARIA 1 CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,738,372,114,69,3,4,118,9,6,2,0,9,18,13,0,7
183,EXTRAORDINARIA 1 CONTIGUA 3,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,738,381,107,77,3,7,113,12,8,2,2,10,20,14,0,6
183,EXTRAORDINARIA 1 CONTIGUA 4,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,738,373,100,79,3,4,116,7,13,3,1,9,20,14,0,4
184,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,512,330,90,74,2,5,107,6,6,0,2,2,22,8,0,6
184,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,512,325,94,76,2,3,90,15,2,2,2,9,18,5,0,7
184,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,511,312,85,65,1,5,110,9,4,2,0,4,16,5,0,6
185,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,449,277,81,56,0,5,86,10,4,0,1,2,18,6,0,8
185,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,448,267,68,49,4,6,90,12,5,0,0,3,16,6,0,8
186,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,595,375,102,84,1,8,113,12,13,2,1,5,14,10,0,10
186,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,594,375,107,91,1,7,107,10,9,1,2,5,24,5,0,6
187,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,523,360,88,81,1,4,125,10,7,1,1,5,21,11,0,5
187,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,523,350,88,92,2,8,114,9,5,0,2,5,14,2,0,9
187,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,522,328,94,61,2,8,105,9,7,0,1,9,19,4,0,9
188,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,635,407,98,87,1,6,149,11,6,1,1,11,22,7,0,7
188,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,634,416,100,110,6,6,145,10,4,2,0,14,12,4,0,3
189,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,714,425,99,91,1,15,147,12,7,0,3,13,28,2,0,7
189,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,713,416,101,97,2,9,146,7,7,1,2,4,25,9,0,6
189,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,713,397,79,97,0,10,138,9,8,0,1,7,26,5,0,17
190,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,549,385,99,107,4,12,79,17,15,3,1,21,16,4,0,7
190,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,548,372,134,98,3,11,50,12,9,1,0,23,23,5,0,3
190,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,548,394,110,119,4,6,79,12,15,0,2,18,13,11,0,5
191,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,709,332,94,76,4,6,86,11,9,3,0,10,14,7,0,12
191,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,708,323,103,70,4,6,83,8,8,1,1,5,16,8,0,10
191,CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,708,325,78,79,5,5,90,12,15,2,1,12,10,12,0,4
191,CONTIGUA 3,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,708,331,84,85,4,6,90,12,9,3,1,9,15,9,0,4
191,CONTIGUA 4,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,708,319,79,82,2,3,94,10,6,3,0,6,17,15,0,2
191,EXTRAORDINARIA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,740,355,92,84,1,7,112,5,1,2,1,12,16,12,0,10
191,EXTRAORDINARIA 1 CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,740,342,88,95,4,7,93,12,4,2,0,9,11,8,0,9
191,EXTRAORDINARIA 1 CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,740,327,99,69,1,4,106,5,4,1,1,4,13,15,0,5
191,EXTRAORDINARIA 1 CONTIGUA 3,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,740,344,84,103,6,0,111,7,5,5,0,0,14,9,0,0
191,EXTRAORDINARIA 1 CONTIGUA 4,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,739,343,87,82,3,3,112,5,3,1,3,9,18,11,0,6
191,EXTRAORDINARIA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,583,376,114,95,1,11,76,11,7,2,0,20,21,9,0,9
191,EXTRAORDINARIA 2 CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,583,349,111,77,3,18,74,10,10,2,1,14,19,8,0,2
191,EXTRAORDINARIA 2 CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,583,328,108,75,2,0,64,11,5,1,2,25,21,9,0,5
191,EXTRAORDINARIA 2 CONTIGUA 3,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,582,376,104,90,2,15,81,23,10,2,2,14,22,5,0,6
191,EXTRAORDINARIA 3,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,679,413,116,113,5,14,78,15,7,0,2,21,26,13,0,3
191,EXTRAORDINARIA 3 CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,679,406,120,105,4,7,87,17,6,1,1,20,20,11,0,7
191,EXTRAORDINARIA 3 CONTIGUA 2,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,679,413,134,106,0,17,71,19,6,1,1,19,20,7,0,12
191,EXTRAORDINARIA 3 CONTIGUA 3,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,678,421,117,115,6,11,86,20,8,3,1,20,20,8,0,6
191,EXTRAORDINARIA 3 CONTIGUA 4,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,678,409,123,101,3,12,89,17,6,1,1,21,18,14,0,3
191,EXTRAORDINARIA 4,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,682,285,50,98,3,4,90,7,6,0,0,0,7,10,0,10
191,EXTRAORDINARIA 4 CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,682,310,59,101,1,4,103,7,3,3,0,2,1,13,0,13
192,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,677,340,52,125,1,2,98,10,6,10,0,4,19,2,0,11
193,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,464,266,64,73,1,10,84,5,8,3,1,0,11,0,0,6
193,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,463,274,57,106,4,5,67,3,4,2,0,0,8,6,0,12
194,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,437,257,62,73,1,1,85,6,2,2,0,4,10,3,0,8
194,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,437,257,50,93,1,5,89,2,4,2,1,2,1,1,0,6
195,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,220,119,14,33,0,2,61,1,2,0,0,0,2,0,0,4
196,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,310,155,26,38,1,0,77,0,1,1,0,1,1,2,0,7
196,EXTRAORDINARIA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,477,226,57,45,2,5,68,8,4,3,0,9,16,8,0,1
196,EXTRAORDINARIA 1 CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,476,248,70,56,2,2,66,9,4,8,1,8,13,7,0,2
197,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,445,211,16,78,0,2,99,1,3,1,0,1,4,1,0,5
197,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,445,211,16,75,0,2,98,1,3,1,0,1,4,1,0,9
198,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,382,196,39,60,2,2,64,5,3,1,1,0,10,1,0,8
199,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,614,336,43,105,0,2,148,2,5,1,2,0,9,3,0,16
200,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,482,287,49,103,1,1,100,2,8,1,0,1,5,5,0,11
200,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,481,269,32,92,0,1,116,5,3,1,0,0,2,1,0,16
201,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,436,250,61,86,0,2,88,1,0,0,0,0,4,2,0,6
201,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,435,226,43,64,2,1,92,1,1,0,1,0,3,0,0,18
202,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,404,244,47,147,0,1,35,1,1,0,0,0,2,0,0,10
203,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,644,350,97,116,0,8,82,5,3,0,2,0,8,2,0,27
204,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,462,239,35,78,1,3,99,3,1,0,1,0,3,2,0,13
205,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,423,212,33,77,0,1,78,4,2,0,1,1,2,2,0,11
205,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,422,212,40,85,0,0,61,1,8,1,1,1,3,0,0,11
206,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,437,224,20,86,0,4,94,1,2,0,0,2,4,1,0,10
207,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,304,154,27,66,1,1,36,4,6,0,1,0,3,3,0,6
208,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,205,94,18,37,1,2,34,1,1,0,0,0,0,0,0,0
209,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,395,212,47,57,0,0,71,5,5,1,0,1,5,1,0,19
210,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,477,293,48,121,0,2,63,43,3,1,1,0,11,0,0,0
210,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,477,275,35,112,1,6,54,38,1,0,2,0,13,0,0,13
211,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,459,297,51,146,0,12,68,1,2,0,0,1,11,1,0,4
212,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,437,270,51,105,0,13,68,6,2,0,0,0,8,2,0,15
212,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,437,289,41,134,1,27,56,6,6,0,0,1,5,0,0,12
213,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,466,232,31,69,4,14,81,0,4,1,4,2,7,1,0,14
214,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,509,295,60,87,0,10,100,4,4,0,0,0,14,2,0,14
215,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,212,105,15,23,0,16,33,1,1,0,0,0,4,7,0,5
216,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,494,251,50,88,0,16,66,5,5,0,0,2,6,0,0,13
217,BASICA,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,562,304,80,132,0,9,34,13,4,1,1,2,15,3,0,10
217,CONTIGUA 1,Diputados Locales,Cadereyta Jiménez,23,Acta contabilizada,562,320,73,121,0,11,49,12,3,0,1,2,28,2,0,18
218,BASICA,Diputados Locales,El Carmen,20,Acta contabilizada,726,525,111,141,3,111,28,40,17,22,0,6,2,0,20,24
218,CONTIGUA 1,Diputados Locales,El Carmen,20,Acta contabilizada,726,495,107,126,1,112,18,56,14,21,0,3,5,0,14,18
218,EXTRAORDINARIA 1,Diputados Locales,El Carmen,20,Acta contabilizada,628,293,77,96,1,31,11,31,5,0,0,5,4,0,27,5
218,EXTRAORDINARIA 1 CONTIGUA 1,Diputados Locales,El Carmen,20,Acta contabilizada,627,294,87,89,7,27,12,22,13,0,0,5,3,0,17,12
218,EXTRAORDINARIA 1 CONTIGUA 2,Diputados Locales,El Carmen,20,Acta contabilizada,627,265,61,81,4,31,13,20,6,1,0,5,5,0,30,8
218,EXTRAORDINARIA 1 CONTIGUA 3,Diputados Locales,El Carmen,20,Acta contabilizada,627,285,65,95,3,30,11,28,8,1,0,1,10,0,27,6
219,BASICA,Diputados Locales,El Carmen,20,Acta contabilizada,656,429,96,99,3,137,18,33,19,4,0,2,3,0,7,8
219,CONTIGUA 1,Diputados Locales,El Carmen,20,Acta contabilizada,656,449,84,98,2,125,20,53,24,9,0,4,3,0,13,14
219,CONTIGUA 2,Diputados Locales,El Carmen,20,Acta contabilizada,656,422,89,82,3,127,19,56,12,7,0,1,4,0,8,14
219,CONTIGUA 3,Diputados Locales,El Carmen,20,Acta contabilizada,655,441,99,96,2,112,22,54,16,5,0,3,3,0,11,18
220,BASICA,Diputados Locales,El Carmen,20,Acta contabilizada,664,431,154,73,6,82,10,33,28,11,0,6,2,0,11,15
220,CONTIGUA 1,Diputados Locales,El Carmen,20,Acta contabilizada,664,445,128,101,5,98,24,31,19,13,0,0,5,0,12,9
220,CONTIGUA 2,Diputados Locales,El Carmen,20,Acta contabilizada,663,439,136,75,6,100,22,37,19,14,0,2,5,0,12,11
220,CONTIGUA 3,Diputados Locales,El Carmen,20,Acta contabilizada,663,431,135,79,7,101,13,37,14,14,0,8,4,0,12,7
220,CONTIGUA 4,Diputados Locales,El Carmen,20,Acta contabilizada,663,410,137,59,10,94,21,33,16,5,0,4,5,0,15,11
220,EXTRAORDINARIA 1,Diputados Locales,El Carmen,20,Acta contabilizada,694,228,75,69,6,10,12,32,3,1,0,4,4,0,6,6
220,EXTRAORDINARIA 1 CONTIGUA 1,Diputados Locales,El Carmen,20,Acta contabilizada,694,241,77,72,4,4,11,41,3,2,0,3,2,0,15,7
221,BASICA,Diputados Locales,Cerralvo,22,Acta contabilizada,652,449,247,181,0,0,1,3,0,0,0,0,0,4,0,13
221,CONTIGUA 1,Diputados Locales,Cerralvo,22,Acta contabilizada,564,368,208,141,2,0,2,1,2,0,0,1,0,0,0,11
222,BASICA,Diputados Locales,Cerralvo,22,Acta contabilizada,568,419,261,134,0,1,1,5,2,0,1,1,0,6,0,7
222,CONTIGUA 1,Diputados Locales,Cerralvo,22,Acta contabilizada,568,400,229,140,1,1,4,6,3,1,0,0,0,6,0,9
223,BASICA,Diputados Locales,Cerralvo,22,Acta contabilizada,538,323,176,117,0,0,1,11,4,0,0,0,0,5,0,9
223,CONTIGUA 1,Diputados Locales,Cerralvo,22,Acta contabilizada,448,299,150,122,1,0,2,6,2,1,1,3,1,0,0,10
224,BASICA,Diputados Locales,Cerralvo,22,Acta contabilizada,528,327,164,138,0,1,2,6,3,0,1,2,0,3,0,7
224,CONTIGUA 1,Diputados Locales,Cerralvo,22,Acta contabilizada,384,240,116,116,0,0,0,2,0,0,0,0,0,3,0,3
225,BASICA,Diputados Locales,Cerralvo,22,Acta contabilizada,462,311,176,107,2,0,2,5,4,0,2,2,2,1,0,8
225,CONTIGUA 1,Diputados Locales,Cerralvo,22,Acta contabilizada,461,336,190,117,1,0,4,10,4,1,0,0,3,1,0,5
226,BASICA,Diputados Locales,Cerralvo,22,Acta contabilizada,637,425,267,131,2,0,2,2,9,0,1,2,1,1,0,7
226,CONTIGUA 1,Diputados Locales,Cerralvo,22,Acta contabilizada,513,364,205,124,1,2,4,11,1,1,0,0,1,1,0,13
232,BASICA,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,626,380,57,92,89,9,37,14,18,13,0,5,10,0,12,24
232,CONTIGUA 1,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,626,391,72,79,95,12,42,6,33,13,0,4,10,0,11,14
232,CONTIGUA 2,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,626,365,51,80,81,8,47,11,35,7,0,5,13,0,11,16
232,CONTIGUA 3,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,625,372,49,90,98,13,32,17,17,15,0,5,9,0,8,19
232,EXTRAORDINARIA 1,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,606,342,55,73,105,10,29,5,10,11,0,1,14,0,15,14
232,EXTRAORDINARIA 1 CONTIGUA 1,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,606,344,50,67,98,8,35,19,24,8,0,4,6,0,11,14
232,EXTRAORDINARIA 1 CONTIGUA 2,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,606,330,39,72,103,11,27,9,24,7,0,5,6,0,4,23
232,EXTRAORDINARIA 1 CONTIGUA 3,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,606,341,34,66,116,14,31,8,18,16,0,6,4,0,6,22
232,EXTRAORDINARIA 1 CONTIGUA 4,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,605,344,46,66,114,11,31,8,27,9,0,3,5,0,6,18
232,EXTRAORDINARIA 2,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,616,329,48,58,87,9,34,15,15,29,0,5,8,0,8,13
232,EXTRAORDINARIA 2 CONTIGUA 1,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,615,310,50,64,80,9,28,15,19,20,0,1,10,0,6,8
232,EXTRAORDINARIA 2 CONTIGUA 2,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,615,300,43,48,74,8,40,12,19,27,0,3,9,0,9,8
232,EXTRAORDINARIA 2 CONTIGUA 3,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,615,308,52,71,85,6,39,13,17,0,0,2,6,0,5,12
232,EXTRAORDINARIA 2 CONTIGUA 4,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,615,330,58,57,87,4,34,22,15,23,0,1,13,0,10,6
232,EXTRAORDINARIA 3,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,525,260,42,64,59,1,26,7,20,14,0,5,9,0,6,7
232,EXTRAORDINARIA 3 CONTIGUA 1,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,524,256,42,62,61,2,19,15,18,10,0,3,7,0,10,7
232,EXTRAORDINARIA 3 CONTIGUA 2,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,524,249,46,66,61,5,13,8,24,8,0,1,6,0,6,5
233,BASICA,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,605,373,60,57,84,12,44,15,35,13,0,6,15,0,9,23
233,CONTIGUA 1,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,605,382,62,70,77,10,42,20,53,13,0,1,8,0,15,11
233,CONTIGUA 2,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,604,368,65,67,86,8,36,11,39,3,0,2,17,0,11,23
234,BASICA,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,465,283,62,77,38,3,29,17,32,2,0,2,4,0,12,5
234,CONTIGUA 1,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,464,280,66,68,30,3,36,8,30,7,0,2,11,0,11,8
235,BASICA,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,455,307,67,54,56,6,20,4,37,1,0,4,14,0,26,18
235,CONTIGUA 1,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,455,288,66,40,65,6,30,11,25,0,0,5,6,0,21,13
235,EXTRAORDINARIA 1,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,687,349,61,112,67,9,28,19,24,3,0,5,5,0,5,11
235,EXTRAORDINARIA 1 CONTIGUA 1,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,687,321,62,109,59,3,33,8,16,7,0,3,9,0,5,7
235,EXTRAORDINARIA 1 CONTIGUA 2,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,687,334,60,114,66,9,29,7,17,6,0,3,10,0,5,8
235,EXTRAORDINARIA 1 CONTIGUA 3,Diputados Locales,Ciénega de Flores,20,Acta contabilizada,687,336,59,142,58,10,26,9,18,7,0,1,1,0,1,4
