Seccion,Casilla,Eleccion,Municipio,Distrito,Estatus,LN,Total,Partido Acción Nacional,Partido Revolucionario Institucional,Partido de la Revolución Democrática,Partido del Trabajo,Partido Verde Ecologista de México,Movimiento Ciudadano,Nueva Alianza Partido Político Nacional,Partido Demócrata,Partido Cruzada Ciudadana,MORENA,Partido Humanista  Partido Político Nacional,Partido Político Nacional  Encuentro Social,Candidato Independiente,Votos Anulados
2091,BASICA,Diputados Locales,Santiago,23,Acta contabilizada,520,381,87,113,0,83,9,24,15,0,24,3,6,2,0,15
2091,CONTIGUA 1,Diputados Locales,Santiago,23,Acta contabilizada,520,364,80,114,0,81,8,21,9,0,17,3,14,3,0,14
2091,CONTIGUA 2,Diputados Locales,Santiago,23,Acta contabilizada,519,351,60,101,2,111,9,25,11,0,19,2,9,0,0,2
2092,BASICA,Diputados Locales,Santiago,23,Acta contabilizada,590,393,46,163,6,96,12,8,15,1,22,3,5,5,0,11
2092,CONTIGUA 1,Diputados Locales,Santiago,23,Acta contabilizada,590,385,66,125,4,100,12,14,16,1,10,10,6,2,0,19
2093,BASICA,Diputados Locales,Santiago,23,Acta contabilizada,513,329,75,97,5,74,8,19,10,0,14,5,8,5,0,9
2093,CONTIGUA 1,Diputados Locales,Santiago,23,Acta contabilizada,512,327,65,118,0,65,11,10,15,0,9,2,6,1,0,25
2094,BASICA,Diputados Locales,Santiago,23,Acta contabilizada,620,361,85,136,2,61,10,15,11,0,6,4,12,8,0,11
2094,CONTIGUA 1,Diputados Locales,Santiago,23,Acta contabilizada,620,348,75,150,1,69,8,8,5,0,1,4,13,3,0,11
2094,CONTIGUA 2,Diputados Locales,Santiago,23,Acta contabilizada,620,364,77,176,0,53,17,8,4,0,7,2,11,2,0,7
2095,BASICA,Diputados Locales,Santiago,23,Acta contabilizada,703,442,102,122,2,123,9,22,14,2,17,4,14,3,0,8
2095,CONTIGUA 1,Diputados Locales,Santiago,23,Acta contabilizada,703,422,99,117,2,108,17,18,11,1,9,8,15,7,0,10
2095,CONTIGUA 2,Diputados Locales,Santiago,23,Acta contabilizada,703,424,86,120,2,122,9,17,20,0,14,7,12,1,0,14
2096,BASICA,Diputados Locales,Santiago,23,Acta contabilizada,522,321,35,131,3,92,10,14,8,0,7,4,6,2,0,9
2096,CONTIGUA 1,Diputados Locales,Santiago,23,Acta contabilizada,521,329,45,113,3,110,13,5,10,0,4,4,7,2,0,13
2096,CONTIGUA 2,Diputados Locales,Santiago,23,Acta contabilizada,521,346,44,138,4,99,9,7,10,0,8,2,11,0,0,14
2097,BASICA,Diputados Locales,Santiago,23,Acta contabilizada,674,390,98,111,0,109,9,17,10,1,14,10,5,1,0,5
2097,CONTIGUA 1,Diputados Locales,Santiago,23,Acta contabilizada,674,361,83,95,1,98,6,13,17,0,17,4,14,4,0,9
2097,CONTIGUA 2,Diputados Locales,Santiago,23,Acta contabilizada,673,420,87,124,2,125,8,18,17,0,14,4,10,3,0,8
2097,CONTIGUA 3,Diputados Locales,Santiago,23,Acta contabilizada,673,435,89,121,2,137,8,12,16,0,14,4,10,3,0,19
2098,BASICA,Diputados Locales,Santiago,23,Acta contabilizada,716,442,118,122,3,110,3,19,15,0,18,4,12,2,0,16
2098,CONTIGUA 1,Diputados Locales,Santiago,23,Acta contabilizada,716,433,85,132,0,130,4,22,14,1,16,4,12,3,0,10
2098,CONTIGUA 2,Diputados Locales,Santiago,23,Acta contabilizada,716,447,108,117,4,145,3,21,15,2,18,1,6,1,0,6
2099,BASICA,Diputados Locales,Santiago,23,Acta contabilizada,623,362,114,79,1,99,3,25,11,0,18,4,3,2,0,3
2099,CONTIGUA 1,Diputados Locales,Santiago,23,Acta contabilizada,623,357,97,83,2,106,6,24,4,1,9,7,4,3,0,11
2099,CONTIGUA 2,Diputados Locales,Santiago,23,Acta contabilizada,623,364,85,101,1,96,5,28,7,0,14,4,6,1,0,16
2100,BASICA,Diputados Locales,Santiago,23,Acta contabilizada,165,104,16,49,0,20,3,7,1,0,2,2,3,0,0,1
